Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
StarWars:KnightsoftheOldRepublic,PC,2003,Role-Playing,LucasArts,0.05,0.5,0,0.1,0.7,93,9,T
SkiesofArcadia,DC,2000,Role-Playing,Sega,0,0,0.39,0,0.39,93,9.4,T
CompanyofHeroes,PC,2006,Strategy,THQ,0,0.24,0,0.06,0.29,93,8.8,M
UnrealTournament2004,PC,2004,Shooter,Atari,0,0.05,0,0,0.11,93,8.9,M
Homeworld,PC,1998,Strategy,Vivendi Games,0,0.08,0,0,0.08,93,9,E
GrandTheftAutoIII,PC,2002,Action,Take-Two Interactive,0,0.05,0,0,0.05,93,8.4,M
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,22.56,26.33,0,9.67,58.44,92,,
Uncharted3:Drake'sDeception,PS3,2011,Action,Sony Computer Entertainment,23.08,22.92,1.58,8.58,56.17,92,8.3,T
SuperSmashBros.forWiiUand3DS,WiiU,2014,Fighting,Nintendo,28.89,12,9,4.22,54.11,92,,
TheElderScrollsV:Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,21.25,21.67,2.08,8.33,53.42,92,6.4,M
TheWitcher3:WildHunt,PS4,2015,Role-Playing,Namco Bandai Games,12.75,26.63,2.88,7.38,49.63,92,9.2,M
ForzaMotorsport3,X360,2009,Racing,Microsoft Game Studios,21.36,13.57,0.71,3.57,39.21,92,8,E
FinalFantasyVII,PS,1997,Role-Playing,Sony Computer Entertainment,11.58,9.5,12.62,3.69,37.38,92,9.2,T
GodofWarIII,PS3,2010,Action,Sony Computer Entertainment,21.08,10.23,0.92,4.69,36.92,92,8.7,M
FinalFantasyX,PS2,2001,Role-Playing,Sony Computer Entertainment,13.23,9.41,12.41,1.5,36.59,92,8.7,T
FinalFantasyXII,PS2,2006,Role-Playing,Square Enix,11.06,0,13.71,10.24,35,92,7.6,T
SuperSmashBros.Melee,GC,2001,Fighting,Nintendo,20.05,4.73,6.32,1,32.14,92,9.1,T
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,12.88,10.13,3.25,4.75,31,92,8.6,M
GuitarHeroII,PS2,2006,Misc,RedOctane,22.41,3.71,0,4,30.12,92,8.5,T
SuperMarioSunshine,GC,2002,Platform,Nintendo,19.1,6,4.14,0.81,30.05,92,8.6,E
SuperMarioKart,SNES,1992,Racing,Nintendo,11.42,4,12.29,0.58,28.26,92,,
Mario&Luigi:Bowser'sInsideStory,DS,2009,Role-Playing,Nintendo,15.93,3.36,5.79,1.86,26.93,92,,
Batman:ArkhamAsylum,X360,2009,Action,Eidos Interactive,15.71,6.79,0.14,2.21,24.86,92,8.7,T
